+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                            ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                        ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; i_system_bd|mm_interconnect_2                                                                                                                                                                    ; 410   ; 0              ; 1            ; 0              ; 414    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|avalon_st_adapter_005|error_adapter_0                                                                                                                              ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|avalon_st_adapter_005                                                                                                                                              ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|avalon_st_adapter_004|error_adapter_0                                                                                                                              ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|avalon_st_adapter_004                                                                                                                                              ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|avalon_st_adapter_003|error_adapter_0                                                                                                                              ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|avalon_st_adapter_003                                                                                                                                              ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|avalon_st_adapter_002|error_adapter_0                                                                                                                              ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|avalon_st_adapter_002                                                                                                                                              ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|avalon_st_adapter_001|error_adapter_0                                                                                                                              ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|avalon_st_adapter_001                                                                                                                                              ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|avalon_st_adapter|error_adapter_0                                                                                                                                  ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|avalon_st_adapter                                                                                                                                                  ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_047|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_047                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_046|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_046                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_045|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_045                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_044|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_044                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_043|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_043                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_042|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_042                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_041|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_041                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_040|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_040                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_039|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_039                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_038|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_038                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_037|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_037                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_036|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_036                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_035|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_035                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_034|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_034                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_033|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_033                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_032|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_032                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_031|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_031                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_030|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_030                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_029|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_029                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_028|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_028                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_027|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_027                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_026|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_026                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_025|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_025                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_024|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_024                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_023|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_023                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_022|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_022                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_021|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_021                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_020|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_020                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_019|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_019                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_018|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_018                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_017|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_017                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_016|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_016                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_015|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_015                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_014|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_014                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_013|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_013                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_012|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_012                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_011|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_011                                                                                                                                                   ; 144   ; 2              ; 0            ; 2              ; 140    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_system_bd|mm_interconnect_1|mux_pipeline_010|core                                                                                                                                              ; 142   ; 0              ; 0            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
